soil_label,climate_zone,temp_c_mean,rain_mm_year,rel_humidity_pct,ph,organic_carbon_pct,n_kg_ha,p_kg_ha,k_kg_ha,cec_cmol_kg,ec_ds_m,soil_moisture_pct,sand_pct,silt_pct,clay_pct,recommended_crop
Alluvial_Soil,Temperate,19.7,707,69,7.41,0.71,102,60,183,22.2,0.33,25.7,54.6,30.4,15.0,rice
Alluvial_Soil,Temperate,17.0,931,49,7.76,1.67,121,47,189,14.5,0.67,18.7,28.2,28.0,43.8,wheat
Alluvial_Soil,Monsoon,26.7,1195,78,7.07,1.6,111,48,93,22.8,1.0,24.6,43.6,45.1,11.3,rice
Alluvial_Soil,Monsoon,26.4,1639,60,6.65,1.4,85,46,146,19.3,0.96,28.8,31.2,54.8,14.0,sugarcane
Alluvial_Soil,Temperate,6.1,597,47,7.36,1.27,100,52,220,17.3,1.01,20.8,38.6,37.1,24.3,rice
Alluvial_Soil,Subtropical,19.6,871,65,6.97,0.71,113,34,96,24.5,1.11,29.9,42.3,39.0,18.7,rice
Alluvial_Soil,Monsoon,22.8,1298,75,6.73,1.63,61,51,149,17.6,0.83,27.9,28.0,37.5,34.5,rice
Alluvial_Soil,Temperate,8.2,1048,58,6.95,1.31,118,32,83,24.5,0.68,31.3,49.5,23.3,27.2,sugarcane
Alluvial_Soil,Temperate,13.3,415,68,7.67,0.77,84,42,124,20.7,0.48,29.2,27.2,22.7,50.1,wheat
Alluvial_Soil,Temperate,20.4,622,73,6.88,1.22,68,57,116,24.2,0.36,18.8,41.8,25.9,32.3,cotton
Alluvial_Soil,Subtropical,25.2,936,44,7.47,0.91,60,58,213,13.6,1.03,20.6,28.4,47.9,23.7,wheat
Alluvial_Soil,Temperate,9.4,492,62,6.66,1.21,79,58,177,19.6,0.4,31.7,24.9,40.9,34.2,wheat
Alluvial_Soil,Monsoon,32.9,932,74,7.32,0.73,118,25,185,24.6,0.8,33.9,53.9,37.2,8.9,cotton
Alluvial_Soil,Monsoon,28.5,2028,76,7.04,1.05,93,57,140,20.5,1.07,25.7,61.5,18.2,20.3,sugarcane
Alluvial_Soil,Subtropical,18.2,729,77,6.72,0.94,106,26,144,12.3,0.26,21.0,36.2,43.5,20.3,wheat
Alluvial_Soil,Monsoon,22.5,1208,64,7.24,1.1,69,31,86,16.9,0.72,19.7,21.4,54.8,23.8,vegetables
Alluvial_Soil,Subtropical,24.8,1301,45,7.2,1.22,138,55,197,17.0,0.84,22.5,46.2,35.4,18.4,rice
Alluvial_Soil,Subtropical,17.9,1454,77,7.13,0.99,97,38,155,23.0,0.85,31.7,39.3,42.3,18.4,rice
Alluvial_Soil,Subtropical,13.9,1253,43,7.72,0.76,137,59,103,19.7,0.98,31.5,28.7,38.0,33.3,sugarcane
Alluvial_Soil,Monsoon,27.3,1893,83,7.14,1.32,124,25,211,13.6,0.32,19.5,40.2,38.5,21.3,cotton
Alluvial_Soil,Temperate,11.0,510,41,7.72,1.13,119,35,98,19.2,1.14,31.3,40.4,38.8,20.8,rice
Alluvial_Soil,Subtropical,23.8,1217,40,7.09,1.59,119,37,121,18.0,0.64,23.1,17.2,45.6,37.2,rice
Alluvial_Soil,Subtropical,25.3,1185,44,7.67,0.63,79,29,143,22.1,0.4,33.5,62.4,29.7,7.9,cotton
Alluvial_Soil,Temperate,20.2,1049,66,7.41,1.61,71,38,85,14.6,0.32,26.6,34.1,31.5,34.4,vegetables
Alluvial_Soil,Subtropical,24.2,649,65,6.56,1.66,97,49,138,13.2,0.38,34.7,33.2,57.1,9.7,sugarcane
Alluvial_Soil,Temperate,17.3,1058,41,7.16,1.08,74,57,146,13.5,0.33,22.7,51.8,36.9,11.3,rice
Alluvial_Soil,Temperate,5.7,693,54,6.79,1.29,88,43,163,20.4,0.85,23.4,33.1,45.7,21.2,wheat
Alluvial_Soil,Subtropical,22.1,1068,72,6.91,1.6,116,35,149,13.5,0.27,32.3,54.0,31.0,15.0,vegetables
Alluvial_Soil,Monsoon,25.2,1100,76,6.66,1.04,100,59,90,22.0,0.51,29.7,31.8,48.7,19.5,vegetables
Alluvial_Soil,Subtropical,31.8,1100,74,7.79,0.77,140,40,143,17.1,0.28,30.8,22.6,48.6,28.8,wheat
Alluvial_Soil,Temperate,16.1,745,38,6.82,1.61,129,46,158,20.7,0.96,19.0,33.8,42.9,23.3,vegetables
Alluvial_Soil,Monsoon,28.2,2005,67,7.15,1.24,112,41,94,17.2,1.12,28.7,32.0,54.3,13.7,wheat
